Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;4;0;0;4;38706;611;38097;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;1;1;2;4;402;186;229;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;04866275;BANCO INBURSA S.A.; ;1;0;2;3;11904;7;11897;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;1;0;1;14489;254;14302;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;1;1;10297;4757;5916;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;07441209;BANCO MONEO S.A.; ;1;0;0;1;1234;4;1232;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;0;0;1;1;38281;35380;2929;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;1;0;1;2;4865;4592;2892;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;0;3;4;7;255199;2832;252479;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;0;0;2;2;21801;16650;8096;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;8;5;43;56;175692;15287;161520;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;7;15;10;32;1968256;219922;1784889;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;57839805;BANCO TRICURY S.A.; ;0;1;0;1;676;658;155;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;8;18;14;40;3886472;1940646;2356172;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;10;8;20;38;1303144;1257492;467135;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);19,83;100;360;185;645;5042321;3762175;3969611;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;7;6;6;19;27474;1034;26501;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);22,76;1527;2628;4367;8522;67076893;63425558;29313144;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;2;2;0;0;0;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;44089;6;44083;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;11285104;BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;0;0;3;3;10899;10;10889;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);99,80;520;518;505;1543;5210230;1120487;4874418;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;1;0;5;6;24426;23847;20243;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);268,59;719;326;222;1267;2676922;12879;2664575;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;1;0;0;1;1604;1598;97;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);24,35;2408;4154;4888;11450;98855959;88952453;44997989;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);69,12;64;130;199;393;925870;814338;426317;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;8;9;9;26;424827;318699;107760;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;C6 BANK (conglomerado);64,37;118;144;85;347;1833081;1819900;202030;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);26,45;3053;8334;12223;23610;115407209;112696979;21658027;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;3;2;7;63739;56525;12876;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;6;77;47;130;253956;3597;250978;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;0;2;3;5;19435;19370;70;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);17,30;31;148;69;248;1791322;682223;1603727;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);41,06;50;308;296;654;1217663;104416;1127189;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;559,96;54;238;10;302;96434;623;95815;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;FATOR (conglomerado); ;0;1;0;1;16675;16672;19;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;6;6;97339;1771;95637;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;GM (conglomerado);72,55;24;10;176;210;330771;462;330392;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);44,63;20;34;21;75;448029;441333;8183;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;1;1;2;410773;562;410214;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;6;1;3;10;197488;568;196974;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;7;6;45;58;478950;70;478917;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado);235,01;15;28;4;47;63827;3946;60430;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;6;0;1;7;5169;4334;1160;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;INTER (conglomerado);97,92;557;402;442;1401;5688290;5531460;914226;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);21,09;1750;4649;3435;9834;82959663;63654317;50400471;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;3;5;8;125684; ;125684;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;06040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;265138;4;265135;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;205116;4;205112;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;9;0;10;19;25656;1112;24545;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;9;11;5;25;83947;10717;73378;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);30,73;99;88;69;256;3221087;2713917;1567402;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;5;1;9;15;20615;171;20526;
2020;2º;Mais de quatro milhões de clientes;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3,13;35;135;107;277;11177083;77;11177064;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado);35,70;26;42;52;120;728248;728201;9528;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;1;0;2;580365;670;579695;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;225,43;18;59;5;82;79846;3103;77170;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;NUBANK (conglomerado);0,18;1;5;5;11;5367754;5353986;73153;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado);12,07;55;61;100;216;4553588;3408;4550817;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado);30,97;97;226;224;547;3131942;3016464;461678;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado); ;0;3;0;3;935179;932502;2704;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);158,89;794;1072;2941;4807;4996952;467854;4701347;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado);122,22;53;199;88;340;433617;9072;424826;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;0;1;0;1;1009; ;1009;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;43180355;PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;19,25;64;64;40;168;3322987;1441913;2556685;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;PINE (conglomerado); ;1;1;0;2;11077;10051;1618;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;PLURAL (conglomerado); ;0;2;0;2;5003;5003;36;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);20,78;50;67;83;200;2405064; ;2405064;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;14;17;30;61;251875;3783;248096;
2020;2º;Mais de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;3,55;17;39;34;90;4784859;17;4784844;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;1;2;2;5;22654;18171;7223;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;1;2;3;6;12852;1688;11612;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);281,78;771;934;1221;2926;2736115;1141492;1742824;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;05503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;7;1;4;12;29536;1243;28294;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);41,35;2040;3214;5752;11006;49334145;40754319;24407946;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;07747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;5;4;7;16;809031; ;809031;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SCANIA (conglomerado); ;0;0;1;1;4328;2829;4310;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;4;6;84;84; ;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado); 0 ;0;0;2;2;4976262;4954923;159005;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;2;1;1;4;699;564;175;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;2;6;12;5517;2824;2694;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;1;1;2;24627;9312;15617;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;7;6;22;35;250294;239070;16276;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;SOROCRED (conglomerado); ;4;12;13;29;492314;1214;491155;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;4;1;1;6;414053;993;413062;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado);168,81;66;23;300;389;390958;1398;389865;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;1;0;0;1;81;81; ;
2020;2º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);3,47;33;124;404;561;9502980;5877169;4115498;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;VR (conglomerado); ;0;0;1;1;69;52;18;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;7;2;5;14;1;1; ;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;5;11;38;54;185004;45;184964;
