Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;22;31;31;84;1312082;1266234;470608;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);27,15;138;599;129;866;5081434;3779138;3988413;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;24;16;5;45;27533;1234;26565;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);27,66;1878;3104;3629;8611;67894151;64226383;29491465;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;1;1; ;0;0;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);236,73;1325;636;415;2376;5597083;1605247;4987983;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;1;1;2;4;26598;24447;21162;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);332,00;864;367;161;1392;2602372;12940;2589941;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BOCOM (conglomerado); ;1;0;0;1;7711;6155;1836;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;2;0;2;1663;1657;96;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);25,76;2551;5042;4027;11620;99010417;89748256;43914201;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);80,11;78;181;119;378;973656;860664;441428;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;5;8;12;25;499329;401895;101634;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;C6 BANK (conglomerado);220,48;599;455;174;1228;2716769;2571688;409398;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);49,10;6684;8562;14828;30074;136115003;134384189;21677728;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;5;2;8;64804;57693;12637;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;15;207;14;236;243070;3819;239864;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;1;1;6;8;23698;19411;5175;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;05676026;CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;277460; ;277460;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;2;2;5105;5102;407;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);38,24;74;223;84;381;1934829;848402;1570617;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);115,83;137;530;146;813;1182676;96333;1101394;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO; ;0;0;1;1;2429;2410;170;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;893,56;91;275;6;372;101839;646;101197;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;5;6;92257;1739;90584;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;GAZIN (conglomerado); ;2;0;0;2;34889;284;34628;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;GM (conglomerado); ;15;16;37;68;320712;469;320325;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;06339468;GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;110696;1;110695;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);74,51;43;128;52;223;577035;570591;8183;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;2;3;1;6;421393;567;420829;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;8;0;2;10;197002;570;196490;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;25;5;23;53;466565;77;466532;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;17;31;7;55;62754;4176;59249;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;INTER (conglomerado);126,38;869;397;433;1699;6875798;6724730;1063054;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);32,30;2687;5290;2680;10657;83164395;64446126;49483598;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;3;2;4;9;124278; ;124278;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;06040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;280481;4;280479;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;3;1;4;192212;4;192208;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;6;0;6;12;25470;1112;24361;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado);313,36;38;35;12;85;121263;33895;88681;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);48,75;160;87;82;329;3281816;2794454;1589128;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;2;3;2;7;20996;236;20839;
2020;3º;Mais de quatro milhões de clientes;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2,02;22;154;101;277;10873867;110;10873832;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado);119,26;108;86;95;289;905571;905520;12934;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;1;2;585497;672;584826;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;19;59;1;79;82824;3135;80112;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;NUBANK (conglomerado);0,25;2;5;10;17;7935364;7903697;111965;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado);6,12;28;66;72;166;4569483;3673;4566599;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado);72,11;243;317;341;901;3369592;3207959;536414;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado); ;3;0;0;3;1388670;1385285;3488;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);255,33;1464;2049;1582;5095;5733561;1015888;5014811;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado);176,42;82;389;59;530;464786;9343;455724;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;2;3;1;6;1030; ;1030;
2020;3º;Mais de quatro milhões de clientes;Banco/financeira;43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;15,13;82;60;38;180;5418481;4926211;2669017;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;PINE (conglomerado); ;1;1;3;5;11124;10229;1494;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;PLURAL (conglomerado); ;0;1;1;2;5196;5195;35;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);41,87;106;101;100;307;2531276; ;2531276;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;16;25;28;69;241363;3783;237584;
2020;3º;Mais de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;1,11;5;41;30;76;4472840;17;4472825;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;3;11;4;18;23240;19196;6759;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;2;0;2;4;12960;1690;11711;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);362,40;996;1229;657;2882;2748317;1181841;1728759;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;05503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;2;4;7;29252;1252;28001;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);34,33;1723;4260;3621;9604;50180892;41666035;24563401;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;2;3;0;5;14244;718;13526;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;07747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;7;5;8;20;731992; ;731992;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;3;9;16;70051;81;69974;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado);0,19;1;1;1;3;5197523;5176329;164622;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;SINOSSERRA (conglomerado); ;0;2;0;2;7849;80;7770;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;0;3;0;3;714;571;183;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;3;6;12;4742;2380;2363;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;17;19;44;80;273589;262899;16106;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOROCRED (conglomerado); ;4;19;32;55;491804;1218;490642;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;36019;4;36015;
2020;3º;Menos de quatro milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;2;0;2;409428;994;408436;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado);115,96;45;18;55;118;388049;1398;386950;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;1;2;3;7713;81;7706;
2020;3º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);6,10;67;294;529;890;10966653;7373002;4214185;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;1;1;1;3;1;1; ;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;9;4;14;27;190240;46;190200;
